Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2023,ATL,21,2022-11-28,0,PHI,L,101,104,37,74,.500,12,27,.444,15,22,.682,8,42,26,7,6,20,21,39,86,.453,10,28,.357,16,18,.889,10,37,23,10,3,12,19
2023,ATL,22,2022-11-30,0,ORL,W,125,108,51,94,.543,8,32,.250,15,19,.789,14,49,25,8,3,12,17,39,79,.494,8,27,.296,22,25,.880,6,33,26,5,3,18,21
2023,ATL,23,2022-12-02,1,DEN,W,117,109,49,88,.557,10,28,.357,9,14,.643,12,43,24,7,3,12,14,45,85,.529,12,32,.375,7,13,.538,9,33,31,8,0,16,12
2023,ATL,24,2022-12-05,1,OKC,L,114,121,44,102,.431,13,38,.342,13,17,.765,17,54,24,7,4,18,24,43,95,.453,12,34,.353,23,24,.958,14,49,25,8,4,16,19
2023,ATL,25,2022-12-07,0,NYK,L,89,113,32,85,.376,6,36,.167,19,24,.792,11,39,16,4,6,11,17,37,83,.446,17,36,.472,22,24,.917,13,55,26,6,2,14,23
2023,ATL,26,2022-12-09,0,BRK,L,116,120,46,93,.495,10,29,.345,14,16,.875,12,38,21,12,4,18,18,45,83,.542,13,30,.433,17,21,.810,9,38,30,10,5,21,18
2023,ATL,27,2022-12-11,1,CHI,W,123,122,47,98,.480,13,39,.333,16,21,.762,8,45,28,3,6,15,22,48,100,.480,7,27,.259,19,23,.826,13,53,28,11,6,19,21
2023,ATL,28,2022-12-12,0,MEM,L,103,128,37,104,.356,12,37,.324,17,22,.773,20,39,20,13,1,16,17,50,83,.602,13,32,.406,15,18,.833,5,49,36,8,12,23,17
2023,ATL,29,2022-12-14,0,ORL,L,124,135,44,88,.500,12,35,.343,24,27,.889,11,39,30,2,6,13,21,47,93,.505,16,36,.444,25,30,.833,14,46,28,10,6,14,22
2023,ATL,30,2022-12-16,0,CHO,W,125,106,41,75,.547,15,29,.517,28,34,.824,4,41,25,3,5,14,22,39,98,.398,15,43,.349,13,19,.684,15,43,26,8,5,13,25
2023,ATL,31,2022-12-19,1,ORL,W,126,125,48,94,.511,12,32,.375,18,20,.900,6,41,29,7,3,10,18,45,95,.474,12,34,.353,23,25,.920,10,45,29,8,8,8,17
2023,ATL,32,2022-12-21,1,CHI,L,108,110,39,91,.429,14,37,.378,16,16,1.000,9,47,22,6,7,15,15,43,86,.500,7,24,.292,17,22,.773,8,47,20,9,4,11,15
2023,ATL,33,2022-12-23,1,DET,W,130,105,49,92,.533,12,34,.353,20,24,.833,8,48,30,10,8,8,20,37,90,.411,9,33,.273,22,29,.759,9,43,17,7,3,14,19
2023,ATL,34,2022-12-27,0,IND,L,114,129,40,89,.449,12,30,.400,22,29,.759,9,42,26,4,3,9,19,47,92,.511,13,35,.371,22,27,.815,7,49,28,3,2,13,16
2023,ATL,35,2022-12-28,1,BRK,L,107,108,42,97,.433,8,22,.364,15,22,.682,11,47,22,5,6,4,14,42,83,.506,10,26,.385,14,17,.824,5,47,22,0,13,12,18
2023,ATL,36,2022-12-30,1,LAL,L,121,130,48,101,.475,11,38,.289,14,20,.700,12,41,22,6,5,10,19,52,96,.542,10,32,.313,16,18,.889,12,55,34,7,6,16,17
2023,ATL,37,2023-01-02,0,GSW,L,141,143,53,109,.486,11,35,.314,24,29,.828,10,53,30,9,10,13,17,54,121,.446,19,59,.322,16,24,.667,23,69,34,9,6,19,23
2023,ATL,38,2023-01-04,0,SAC,W,120,117,45,84,.536,10,30,.333,20,22,.909,7,44,21,9,4,16,21,41,88,.466,10,25,.400,25,27,.926,10,42,26,9,3,11,19
2023,ATL,39,2023-01-06,0,LAL,L,114,130,44,96,.458,9,31,.290,17,22,.773,7,39,24,8,5,12,15,51,93,.548,16,35,.457,12,16,.750,7,51,33,6,5,18,18
2023,ATL,40,2023-01-08,0,LAC,W,112,108,44,89,.494,8,26,.308,16,20,.800,7,43,22,7,9,9,18,37,95,.389,10,30,.333,24,31,.774,21,59,25,6,5,11,19
2023,ATL,41,2023-01-11,1,MIL,L,105,114,39,87,.448,11,30,.367,16,18,.889,6,41,25,5,3,11,12,45,98,.459,18,48,.375,6,11,.545,14,57,28,6,4,11,15
2023,ATL,42,2023-01-13,0,IND,W,113,111,41,94,.436,16,33,.485,15,21,.714,14,50,26,6,9,14,22,40,101,.396,7,30,.233,24,29,.828,19,51,24,8,9,12,22
2023,ATL,43,2023-01-14,0,TOR,W,114,103,43,84,.512,11,27,.407,17,18,.944,5,40,19,6,4,12,22,36,87,.414,7,29,.241,24,30,.800,11,43,19,9,3,14,19
2023,ATL,44,2023-01-16,1,MIA,W,121,113,45,76,.592,13,27,.481,18,22,.818,2,28,27,9,5,16,17,43,89,.483,8,31,.258,19,20,.950,12,41,30,10,4,16,22
